eval_period,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly
2016-02-01,-0.10155675987785077,-0.09431679646638215,-0.09645588386526313,-0.09671698276285008,-0.09752785642734832,-0.10294689274269939,-0.0998790046170304,-0.02405255520309368,-0.023471644825443734,-0.03198295491209592,-0.03280531513937489,-0.0327280094775184,-0.036290295433680765,-0.0349496621929266,-0.06287627126037781,-0.07333347728986798,-0.06666005448385258,-0.06913325872876126,-0.06823649129616025,-0.06182798494536553,-0.06268460991924828,-0.13227733248106247,-0.10581498236210675,-0.10032539943507111,-0.1010703991505775,-0.10097185004433541,-0.09668891731532922,-0.09814239506428281,-0.11553376972389025,-0.12565808216488297,-0.13860993940225874,-0.13430409208497485,-0.14150204904510663,-0.13470951503716178,-0.14325969361337754,-0.19001170461160813,-0.19930118835400215,-0.20149908428922592,-0.20514153247060934,-0.19810712359710256,-0.2025150496120761,-0.19336128993066606
2016-03-01,-0.12571463163423882,-0.1238285518363384,-0.11796278444944923,-0.11408906351942832,-0.11139827456495444,-0.10332986580241318,-0.11124768634230356,-0.046379559615493234,-0.04525831510295283,-0.04312337700984713,-0.04407482941948233,-0.04329529207574211,-0.0425230452561406,-0.040335561146312544,-0.040757930387324254,-0.051833962612339746,-0.056625607535765635,-0.06536493749687394,-0.06415731924686299,-0.062130608753995856,-0.07088313888317356,-0.13320381514345822,-0.11841333672339532,-0.11456108998993829,-0.11269882203887609,-0.11640533061387202,-0.11509797285160349,-0.12081568196051402,-0.13209314126334593,-0.13844298921944737,-0.14119641125482704,-0.14463349913011703,-0.142359258683787,-0.1520255470409461,-0.15956179906304988,-0.21222245032239093,-0.20937196403208422,-0.209434960821803,-0.21106510406560053,-0.2136958240398163,-0.20356450709362048,-0.2037582834552731
2016-04-01,-0.10173505193704042,-0.0922854114892342,-0.11023769272505567,-0.10859398994785403,-0.1100338009735186,-0.11942915174661521,-0.11685989766734323,-0.046534707164276504,-0.046695652970420005,-0.04693044823088804,-0.05005332642199671,-0.0527111220068877,-0.0539697528763961,-0.05224833531980897,-0.0645481148220228,-0.06773989870046523,-0.07164762628860091,-0.07096547216702961,-0.07206689027126742,-0.08199807946049355,-0.08197625927149607,-0.130028674852713,-0.14265813941074915,-0.13014719747347964,-0.12592760378964843,-0.12163047132643118,-0.1177865515515996,-0.123297209578985,-0.17969391501647278,-0.17633205805576488,-0.18101210356612027,-0.17182686236463718,-0.17230942463642043,-0.16229639148070904,-0.16531281158267788,-0.19222237569639586,-0.19080818285364723,-0.2018278393113024,-0.20289494365537974,-0.19582865698972707,-0.1928648237200789,-0.20688041237781388
2016-05-01,-0.11194321231222401,-0.11775947687592445,-0.11647350762290741,-0.12079514781542172,-0.12179544333080453,-0.11660616753536387,-0.1233677619443487,-0.04556594619109157,-0.04530922943856409,-0.04430366215890547,-0.04873185653246058,-0.05372556512377315,-0.0462651004411977,-0.047451647443973025,-0.07357623428820066,-0.06991295908074353,-0.07560477362296793,-0.08416007985829133,-0.0819491975484267,-0.09404544249195665,-0.09556455044651474,-0.13375707738704884,-0.11447206585369449,-0.11982730773270765,-0.12119443139869045,-0.11969967036339103,-0.12995759116325425,-0.12888264914155953,-0.19324500009675813,-0.18162873575883678,-0.16259613161274877,-0.1584453422485639,-0.15889332021410274,-0.1777622307715706,-0.17509477938562182,-0.2372550622580038,-0.22439870289066277,-0.22076231110358807,-0.21896836464661812,-0.22297635120140552,-0.22669101610375522,-0.22695927072456712
2016-06-01,-0.12096530808049784,-0.09967054758288521,-0.10428059405362619,-0.10756425252244428,-0.10902279560487621,-0.11017354594201083,-0.1152514166820771,-0.07021949192573758,-0.05783780812206817,-0.057135718176714555,-0.05533501340498906,-0.054535102213186123,-0.051221711041105594,-0.052251375472452656,-0.10001382824288432,-0.09548026859729747,-0.09337709594095307,-0.08629226976765711,-0.08166357518868847,-0.08746278020703976,-0.08170047087248271,-0.11957820587404643,-0.12217203159142394,-0.12448720329946031,-0.12724252237768804,-0.12761254058424742,-0.12581478078219796,-0.12598984304257715,-0.16325811972829307,-0.1590547457104204,-0.16919403821259224,-0.16851009966305316,-0.1639101442345264,-0.16761926284226333,-0.18421763696769816,-0.2660940732488354,-0.2508381720572825,-0.24441848849492834,-0.2441856141899211,-0.2353658496887722,-0.23927439838609804,-0.2515539296639641
2016-07-01,-0.14591874606572533,-0.14653580608123887,-0.13508829702219569,-0.12871075015880623,-0.12110928445292395,-0.12155519414389056,-0.12335580925445291,-0.05065597430634392,-0.04980674768724565,-0.051613314786820234,-0.05186922922450301,-0.0526876725596386,-0.048462331254319584,-0.04684768770794766,-0.08675170514315132,-0.09733721931114227,-0.0946973200347759,-0.09893535958146125,-0.0923555791465314,-0.08406604382334382,-0.08709266706687308,-0.15044732938070354,-0.12859895586262285,-0.13183165450866624,-0.12910918995213064,-0.12849895421468452,-0.12260017877712137,-0.1332828161177944,-0.147090684360743,-0.14246538020063104,-0.1428412687591741,-0.14858895671074396,-0.14748474935496925,-0.1532864492949132,-0.15721556838195325,-0.15998565770446405,-0.18773922529522574,-0.1944143808343963,-0.1881503882676042,-0.20305276025801489,-0.20400604075612977,-0.2046126259331968
2016-08-01,-0.1448361102446497,-0.14134396292221207,-0.1302528140542444,-0.13206665222245897,-0.1311593686437274,-0.13154407164645468,-0.12668081989176938,-0.04993357187187868,-0.05089865555703741,-0.05034254451980758,-0.04811330704482001,-0.0467626803885122,-0.047361155771311655,-0.050418628888640925,-0.06610107734208424,-0.07224621236686249,-0.07522038013585938,-0.06977004263854214,-0.06972689151217894,-0.07238975423367157,-0.08233697547248277,-0.10878657376041038,-0.11783482985149227,-0.12088578297490958,-0.12490479650354266,-0.11956801810217974,-0.1260143443068182,-0.13014563838986692,-0.16810077442394591,-0.17801215219150315,-0.18252360301942583,-0.18086588187480337,-0.17865145340922534,-0.1827205919643198,-0.17324078288675893,-0.1902388312379146,-0.19816923668587288,-0.21005366555398272,-0.20596334408371267,-0.1965171947899318,-0.20773893286429918,-0.20805876219289685
2016-09-01,-0.08875966242844884,-0.10916362605581983,-0.10882229884192149,-0.10878058861564834,-0.10788597378576784,-0.10847249445729099,-0.12005223600165128,-0.035004459532004685,-0.03606859499739411,-0.03067273307805102,-0.029676859297509968,-0.03220456184641897,-0.03131859024292467,-0.03628008085462384,-0.09243594954977377,-0.06983528838736976,-0.07660508131101669,-0.0766092307512878,-0.07883391115770236,-0.07161008166876143,-0.07464148772050062,-0.12337958848907722,-0.12102822715761433,-0.12092900875564896,-0.11773880884315238,-0.113705731702965,-0.10991727900331871,-0.12378452740448029,-0.17360871993500127,-0.167457324449473,-0.15889484677210247,-0.16455471147008816,-0.17072450996976113,-0.1824693068368224,-0.17585007594962782,-0.20834994455344605,-0.1927159907609416,-0.1992415147840572,-0.2123050678000103,-0.20658522149997183,-0.20931914371607518,-0.20753794005476595
2016-10-01,-0.07301861670391806,-0.10082725859263869,-0.09049114285561673,-0.09884967678410053,-0.10105645359413833,-0.11535271428888397,-0.11364622490745303,-0.052779748306972435,-0.04639945756238036,-0.038613704097989254,-0.0376702483781816,-0.040115000651041836,-0.0435657662670068,-0.044255515451168986,-0.10221386021307359,-0.08697868384947946,-0.07515542437707658,-0.08161674942440736,-0.08350704721947194,-0.07754565323003049,-0.07564469795229749,-0.15323946144537098,-0.1471057863681661,-0.1333060929124283,-0.12830387566335513,-0.1241187040607913,-0.12163917110764925,-0.11595177897249045,-0.1392252317899904,-0.1559891865147675,-0.15611630039294822,-0.15354450362023117,-0.15577707305153035,-0.15801769855880238,-0.1563589381022479,-0.18248480443040724,-0.1759382226186458,-0.1767421555386403,-0.17832319068057645,-0.18260882215700208,-0.18341415238018832,-0.1753764829477342
2016-11-01,-0.12065769581871096,-0.13040036740099878,-0.13550806523692235,-0.13725471316978174,-0.13577706136600692,-0.12733960851646123,-0.1287514662442654,-0.058243075489693694,-0.04470457862423904,-0.044244760877114805,-0.0486113843792648,-0.050642715547902936,-0.05038153458969754,-0.051285615136038055,-0.12499652388105462,-0.10981968300554824,-0.11054694038351927,-0.09991416325773379,-0.09789559128038121,-0.09340624726746838,-0.08732547936211896,-0.13441925648730566,-0.11495500585248171,-0.12716587087599282,-0.13530703320491763,-0.1315645325813424,-0.132554675615698,-0.12946701340796893,-0.14949674924506734,-0.1672996234474816,-0.15633909487588663,-0.15519950459444062,-0.1507967202254776,-0.1669114370442264,-0.17066963141247055,-0.22462740367221734,-0.23750665903827056,-0.23310997059367897,-0.24214456723162503,-0.24636526717266752,-0.2430959965607107,-0.23367054558606087
2016-12-01,-0.15137765704665138,-0.1504081082230203,-0.14559705403683276,-0.14718223217609916,-0.15269551428068334,-0.14338496983646928,-0.13778838219224554,-0.04216544701899819,-0.05384582654695202,-0.06132436255478803,-0.057679630535819634,-0.059093837332931394,-0.06104796548340728,-0.05985407672995001,-0.06537766765544464,-0.06901826436855543,-0.07946816460278239,-0.084639010972098,-0.08726248654129772,-0.09628380072445042,-0.09443024860832933,-0.14105552147887657,-0.1458454434670366,-0.14908460672334817,-0.15631961913713843,-0.15214580472330858,-0.15502266592865513,-0.1486293960750605,-0.19949792671428662,-0.18223391886180854,-0.18936751382083625,-0.1974452719136232,-0.20078344952729804,-0.19313216652812606,-0.18365020355097048,-0.2007387224337842,-0.19955229270974736,-0.20220173091019303,-0.20799578491517876,-0.202665351155904,-0.20458976296048056,-0.21106319281364755
2017-01-01,-0.12378110806857244,-0.11733898333450915,-0.13275656447032838,-0.13224422488975066,-0.13139179233752865,-0.12908331001565074,-0.13174272588194028,-0.03890300662670347,-0.04504860609271887,-0.05109783008920078,-0.05492669394797958,-0.0530021274567422,-0.05271496726056583,-0.04867575264179943,-0.09358454486984917,-0.0968567913239974,-0.09351418644974609,-0.10079729405864997,-0.097850321019131,-0.09174535443420437,-0.08979802088581512,-0.16919967492526386,-0.1550679563014015,-0.1603948284440842,-0.16320923069773466,-0.15825050780095,-0.14627764063262205,-0.14524324830106836,-0.15677186385423134,-0.19501411529819984,-0.1926028063243386,-0.18442962978769734,-0.18137926378348324,-0.18160348339195742,-0.18271823105050505,-0.2046317241884763,-0.18788172075237672,-0.17357639335333536,-0.18408258309070247,-0.18687465716882645,-0.19703310695417942,-0.2011914090444264
2017-02-01,-0.16278781575351467,-0.1538593571177877,-0.14863548829372678,-0.14724949426269265,-0.15388408840281878,-0.1522250748299393,-0.14345081624627856,-0.056023380411276594,-0.05608297788094026,-0.05393548398077307,-0.0549812444397083,-0.056330941943660305,-0.052418254940040404,-0.052482856867247914,-0.11608204325819617,-0.120088290391042,-0.11682602456907139,-0.11913100826452434,-0.11544516307742467,-0.11056477705799508,-0.10006604301884285,-0.14413746523613502,-0.1485678569721812,-0.1613161066830981,-0.1577544606344511,-0.16265936909039796,-0.15699642268194466,-0.1612652352890829,-0.23291235360631415,-0.21699080787700098,-0.19946003997282535,-0.2040333421882912,-0.20490134107355237,-0.20759719331620324,-0.20739499062425681,-0.17053287805037248,-0.1858410251981725,-0.1851087157080519,-0.19606038233608472,-0.1929508258702625,-0.19159920508605566,-0.20141847115377315
