iter	Logloss
664	0.4331390671
665	0.4331318041
666	0.4330809136
667	0.4330408322
668	0.4330101566
669	0.4329587284
670	0.4329038995
671	0.432868132
672	0.4328337492
673	0.4327816205
674	0.4327640226
675	0.4327358562
676	0.4326875454
677	0.432646049
678	0.4326075596
679	0.4325763418
680	0.4325403301
681	0.4325159456
682	0.4324598741
683	0.4324298553
684	0.432396504
685	0.4323545989
686	0.4323039912
687	0.4322735516
688	0.4322561086
689	0.432195672
690	0.4321610211
691	0.4320919983
692	0.4320643058
693	0.4320218374
694	0.4319771636
695	0.4319394849
696	0.4318888389
697	0.431836328
698	0.4318086691
699	0.4317786599
700	0.4317309969
701	0.4316734715
702	0.4316350602
703	0.4315951127
704	0.4315338633
705	0.4315222548
706	0.4314671949
707	0.4314187104
708	0.4313998406
709	0.4313476029
710	0.4313001559
711	0.4312538527
712	0.4312160213
713	0.4311790581
714	0.431136412
715	0.4310944635
716	0.4310421299
717	0.4310335439
718	0.4309944742
719	0.4309544439
720	0.4309389493
721	0.4308910053
722	0.4308619362
723	0.4308132851
724	0.430778479
725	0.4307310765
726	0.4306906882
727	0.4306529753
728	0.4306148972
729	0.4305693404
730	0.4305241487
731	0.4305197949
732	0.4304857047
733	0.4304740752
734	0.4304116847
735	0.430376185
736	0.4303540359
737	0.4303299272
738	0.4302816512
739	0.4302350971
740	0.4302095561
741	0.4301682583
742	0.4301644764
743	0.4301174927
744	0.4300833653
745	0.430048306
746	0.429991702
747	0.4299559582
748	0.4299192091
749	0.4298719845
750	0.429833967
751	0.4298054984
752	0.4297613394
753	0.4297003362
754	0.4296850153
755	0.4296514608
756	0.4296088327
757	0.4295801277
758	0.4295384353
759	0.4294810302
760	0.4294338942
761	0.4293970846
762	0.4293512615
763	0.4293085267
764	0.4292728272
765	0.4292277376
766	0.4291683116
767	0.4291364286
768	0.4291083225
769	0.4290745645
770	0.4290370125
771	0.4290042676
772	0.4289778449
773	0.4289262039
774	0.4288941687
775	0.4288411243
776	0.4287953852
777	0.428764459
778	0.4287253744
779	0.4286902768
780	0.4286575784
781	0.4286565564
782	0.4286157992
783	0.4285838479
784	0.4285508588
785	0.4284933892
786	0.4284533905
787	0.4284089802
788	0.4283869867
789	0.4283507342
790	0.4283326528
791	0.4282879781
792	0.428237125
793	0.4281874065
794	0.4281530236
795	0.4281198296
796	0.4280815319
797	0.4280400175
798	0.4279846062
799	0.4279388961
800	0.4279067385
801	0.4278871958
802	0.4278576672
803	0.4278116169
804	0.4277808924
805	0.42772407
806	0.4276759533
807	0.4276483925
808	0.4275957968
809	0.4275538168
810	0.4275245513
811	0.4274814348
812	0.4274364729
813	0.4273719475
814	0.4273108232
815	0.4272917245
816	0.4272387805
817	0.4272139651
818	0.4271654968
819	0.4271238557
820	0.42708607
821	0.4270373988
822	0.426992777
823	0.4269606997
824	0.4269226587
825	0.4268891912
826	0.4268568223
827	0.4268119183
828	0.426751206
829	0.4267124572
830	0.4266756861
831	0.4266225423
832	0.4265687839
833	0.4265119547
834	0.4264668836
835	0.4264261793
836	0.4263832492
837	0.4263451879
838	0.4263045065
839	0.4262553008
840	0.4262369529
841	0.4262099594
842	0.4262095221
843	0.4261589704
844	0.4261262173
845	0.4260730893
846	0.4260448061
847	0.4259980696
848	0.4259718115
849	0.4259464832
850	0.4258984746
851	0.4258589426
852	0.4258290709
853	0.4257770419
854	0.4257387474
855	0.4256834338
856	0.425642731
857	0.4256122127
858	0.4255684609
859	0.425523317
860	0.4254902529
861	0.4254684307
862	0.4254176504
863	0.4253863877
864	0.4253522923
865	0.4253140355
866	0.4252614408
867	0.4252294046
868	0.4252082639
869	0.4251660293
870	0.4251078499
871	0.4250479424
872	0.4249935269
873	0.42496964
874	0.4249290074
875	0.424895786
876	0.4248460115
877	0.4248025932
878	0.4247519263
879	0.4246977281
880	0.4246714866
881	0.4246294366
882	0.4245880977
883	0.4245387401
884	0.4245054809
885	0.4244649845
886	0.424411847
887	0.4243762439
888	0.4243381013
889	0.4243056779
890	0.424278299
891	0.4242318801
892	0.4242057622
893	0.4241721309
894	0.4241301217
895	0.4240755618
896	0.4240331637
897	0.4239952851
898	0.4239727819
899	0.4239428475
900	0.4239095121
901	0.4238704436
902	0.4238341333
903	0.4237736908
904	0.4237389808
905	0.4236898908
906	0.4236550469
907	0.4236074606
908	0.4236072404
909	0.4235672349
910	0.4235277512
911	0.4234893414
912	0.4234461027
913	0.423399345
914	0.4233604056
915	0.4233125823
916	0.4232811662
917	0.4232294728
918	0.4231903088
919	0.4231510248
920	0.4231107054
921	0.423065578
922	0.4230230074
923	0.4229817056
924	0.4229279362
925	0.4229053932
926	0.4228610096
927	0.4228207711
928	0.4228015221
929	0.4227648128
930	0.4227137827
931	0.4226734788
932	0.422643273
933	0.4226099708
934	0.4225742267
935	0.4225302774
936	0.4224835557
937	0.4224196891
938	0.4223843706
939	0.4223365702
940	0.422336199
941	0.4222988462
942	0.4222684341
943	0.4222215332
944	0.422172442
945	0.4221167031
946	0.4220644593
947	0.4219938436
948	0.4219395674
949	0.4219013522
950	0.4218828883
951	0.4218379135
952	0.4217991037
953	0.4217426282
954	0.4216959783
955	0.4216609633
956	0.4216214289
957	0.4216047267
958	0.4215478281
959	0.4215188247
960	0.4214662495
961	0.4214239592
962	0.4213952612
963	0.4213562302
964	0.4213240142
965	0.4212817248
966	0.4212534925
967	0.4212529644
968	0.421220711
969	0.421196152
970	0.4211634585
971	0.4211254548
972	0.4210868084
973	0.4210246913
974	0.4209985268
975	0.4209463154
976	0.4209120813
977	0.420871315
978	0.4208305301
979	0.420801429
980	0.4207594901
981	0.4207552002
982	0.4207177945
983	0.4206695216
984	0.4206274248
985	0.4205898765
986	0.4205651189
987	0.4205220696
988	0.4204944415
989	0.4204645123
990	0.4204216465
991	0.4203776283
992	0.4203413497
993	0.4202957556
994	0.4202760071
995	0.4202446189
996	0.4202211594
997	0.4201995282
998	0.4201692652
999	0.4201464267
1000	0.4200843445
1001	0.4200410078
1002	0.4200284773
1003	0.4199968629
1004	0.4199413198
1005	0.4199123685
1006	0.419874732
1007	0.4198304375
1008	0.4198011184
1009	0.4197949277
1010	0.419751802
1011	0.4197097725
1012	0.419687508
1013	0.4196568877
1014	0.4196219812
1015	0.4195859754
1016	0.4195589204
1017	0.4195245365
1018	0.4195240417
1019	0.4195047854
1020	0.4194663807
1021	0.4194256463
1022	0.4194105874
1023	0.4193736372
1024	0.4193305822
1025	0.4192948612
1026	0.4192583739
1027	0.4192221197
1028	0.4191877524
1029	0.4191630172
1030	0.4191244339
1031	0.4190974487
1032	0.4190488855
1033	0.4190239187
1034	0.4189898886
1035	0.4189298959
1036	0.4189011914
1037	0.4188773126
1038	0.4188504425
1039	0.4188123039
1040	0.4187799781
1041	0.418743817
1042	0.4187151579
1043	0.4186575067
1044	0.4186199541
1045	0.41859638
1046	0.4185484265
1047	0.4185211686
1048	0.4184803065
1049	0.4184439317
1050	0.418391662
1051	0.4183590796
1052	0.4183194589
1053	0.4183169581
1054	0.4182963313
1055	0.4182621229
1056	0.4182211539
1057	0.4181869293
1058	0.4181521639
1059	0.4181303407
1060	0.4181132568
1061	0.4180696948
1062	0.4180290534
1063	0.4179981109
1064	0.417960752
1065	0.4179174389
1066	0.4178821623
1067	0.4178509488
1068	0.4178071442
1069	0.4177627208
1070	0.4177330357
1071	0.4177055288
1072	0.4176742002
1073	0.4176328769
1074	0.4176325468
1075	0.4176153198
1076	0.417581609
1077	0.4175507644
1078	0.4175153369
1079	0.4174910081
1080	0.4174384022
1081	0.417368285
1082	0.4173180981
1083	0.4172845606
1084	0.4172729533
1085	0.4172359636
1086	0.4171777338
1087	0.4171444921
1088	0.4171045603
1089	0.4170771743
1090	0.4170616044
1091	0.4170456663
1092	0.4170277893
1093	0.4170096713
1094	0.4169733314
1095	0.4169491473
1096	0.4169316663
1097	0.4168803728
1098	0.4168412338
1099	0.4168054207
1100	0.4167712645
1101	0.4167297236
1102	0.4167042415
1103	0.4166659046
