iter	Accuracy	Logloss
396	0.788243286	0.4684317944
397	0.7882545843	0.4684148469
398	0.7882489351	0.4683911029
399	0.7882898914	0.4683791867
400	0.7882997774	0.468365108
401	0.7883336723	0.4683517354
402	0.7883506197	0.4683465276
403	0.7883237863	0.46833545
404	0.7883237863	0.4683215037
405	0.7883350846	0.4683104261
406	0.7883379091	0.4682997898
407	0.7883251986	0.4682832837
408	0.7883266109	0.4682645268
409	0.78833226	0.4682452844
410	0.7883463829	0.4682310733
411	0.7883393214	0.4682154057
412	0.7883492074	0.4681993851
413	0.7883675671	0.4681849974
414	0.7883675671	0.4681748908
415	0.7884071111	0.4681554718
416	0.7884198217	0.4681394071
417	0.7884042866	0.4681257697
418	0.7884240586	0.4681117792
419	0.78843112	0.4681005251
420	0.7884339446	0.4680896681
421	0.7884282954	0.4680820771
422	0.7884268831	0.4680756777
423	0.7884381814	0.4680528163
424	0.788460778	0.4680324264
425	0.7884664271	0.4680153025
426	0.7884664271	0.4680099623
427	0.7884551289	0.4679936768
428	0.7884268831	0.4679838791
429	0.7884565411	0.4679740372
430	0.7884819623	0.4679602233
431	0.7884579534	0.4679455267
432	0.7884720763	0.4679361262
433	0.7884664271	0.4679231067
434	0.7884579534	0.4679077039
435	0.7884678394	0.4679017459
436	0.7884946729	0.4678852839
437	0.7884989097	0.4678725292
438	0.7885073834	0.4678577002
439	0.788559638	0.4678425181
440	0.7885441029	0.4678301606
441	0.788559638	0.4678152875
442	0.7885539889	0.4678008116
443	0.7885610503	0.467785144
444	0.7885737609	0.4677696971
445	0.7886020066	0.4677567218
446	0.7886401383	0.4677438347
447	0.7886457874	0.4677260046
448	0.7886641471	0.4677196051
449	0.7886556734	0.4677150152
450	0.7886556734	0.4677036728
451	0.788658498	0.4676805466
452	0.7887065157	0.4676677036
453	0.788688156	0.4676583914
454	0.7886697963	0.4676464752
455	0.788688156	0.4676301015
456	0.7887135772	0.467612448
457	0.7887192263	0.4676023413
458	0.7886994543	0.46758279
459	0.7886952174	0.4675721537
460	0.7886966297	0.467561385
461	0.7886909806	0.467539627
462	0.7887121649	0.4675272253
463	0.7887291123	0.4675151326
464	0.7887065157	0.467500436
465	0.7887149894	0.4674922271
466	0.7887404106	0.4674756769
467	0.7887644194	0.4674599652
468	0.788757358	0.4674536982
469	0.7887799546	0.4674369715
470	0.7887983143	0.4674219659
471	0.7888138494	0.4674099174
472	0.7888350337	0.4673959269
473	0.7888491566	0.4673788471
474	0.7888491566	0.46735806
475	0.7888731654	0.4673399651
476	0.7888703409	0.4673318444
477	0.7888548057	0.4673173685
478	0.7888929374	0.4673036428
479	0.78887599	0.4672818407
480	0.7888971743	0.4672653346
481	0.7888985866	0.4672555369
482	0.7888999989	0.4672430911
483	0.7889466043	0.4672306895
484	0.7889536657	0.4672238928
485	0.7889466043	0.4672086225
486	0.7889494289	0.4671863349
487	0.7889480166	0.467170226
488	0.7889663763	0.4671534551
489	0.7889579026	0.4671312116
490	0.7889579026	0.467120796
491	0.7889621394	0.4671113513
492	0.7890101572	0.4670952866
493	0.7890030957	0.4670878721
494	0.7890030957	0.4670782067
495	0.7890285169	0.4670620096
496	0.7890256923	0.4670563163
497	0.7890271046	0.4670483722
498	0.7890609994	0.4670326605
499	0.789044052	0.4670222008
