iter	Accuracy	Logloss
304	0.7881963434	0.4683296669
305	0.7882127173	0.4683116897
306	0.7882170837	0.4682968849
307	0.7882290913	0.4682802381
308	0.7882247249	0.4682621926
309	0.7882410988	0.468244113
310	0.7882531064	0.4682216671
311	0.7882672972	0.4681972426
312	0.7882749384	0.4681819602
313	0.7882989535	0.4681550796
314	0.7882782131	0.4681411618
315	0.7882694804	0.4681228775
316	0.7882836711	0.4681102218
317	0.7882978619	0.4680922446
318	0.788338251	0.4680811581
319	0.7883349762	0.4680646476
320	0.7883469838	0.4680502522
321	0.7883371594	0.4680378012
322	0.788338251	0.4680254525
323	0.7883480754	0.4680032794
324	0.7883775485	0.4679884746
325	0.7883906476	0.4679672226
326	0.7884244871	0.4679563749
327	0.7884332199	0.4679404103
328	0.7884452275	0.4679264242
329	0.7884354031	0.4678883888
330	0.7884277619	0.4678727313
331	0.788489983	0.4678487502
332	0.7884888914	0.4678370497
333	0.788462693	0.4678208463
334	0.7884867082	0.4678011293
335	0.7884965325	0.46778131
336	0.7885150897	0.4677625823
337	0.7885270973	0.4677485962
338	0.7885609368	0.467737612
339	0.7885794939	0.4677246152
340	0.7885893183	0.4677068426
341	0.7885860435	0.467681463
342	0.7885543872	0.4676649526
343	0.7885969595	0.4676476917
344	0.78856312	0.4676364005
345	0.7885860435	0.4676138181
346	0.7885915015	0.4675962843
347	0.788625341	0.4675813431
348	0.7886220662	0.4675663336
349	0.7886220662	0.4675569868
350	0.7886122418	0.4675425573
351	0.7886155166	0.4675311978
352	0.7886340738	0.4675114809
353	0.7886155166	0.4674921391
354	0.788614425	0.4674799951
355	0.7886417149	0.4674662819
356	0.7886471729	0.4674463262
357	0.7886373486	0.4674308391
358	0.7886635469	0.4674202643
359	0.7886886536	0.4674087002
360	0.7887115772	0.4673915075
361	0.7887028444	0.4673759523
362	0.7887061192	0.4673688569
363	0.7887072108	0.4673535063
364	0.7887148519	0.4673406118
365	0.788709394	0.4673260458
366	0.7887203099	0.4673128443
367	0.788755241	0.4672982101
368	0.7887443251	0.4672861684
369	0.7887541494	0.4672718412
370	0.7887399587	0.4672611981
371	0.7887366839	0.4672489859
372	0.7887355923	0.4672450971
373	0.7887170351	0.4672278362
374	0.7887366839	0.4672168179
375	0.7887170351	0.4672016379
376	0.7887235847	0.4671808975
377	0.7887399587	0.4671595091
378	0.7887465083	0.4671505375
379	0.788749783	0.4671283303
380	0.788771615	0.4671198704
381	0.7887901721	0.4671046904
382	0.7887945385	0.467090602
383	0.7887694318	0.467076957
384	0.7887868973	0.4670620499
385	0.7888120041	0.4670483708
386	0.7888261948	0.4670362609
387	0.7888251032	0.467026266
388	0.7888316528	0.4670155888
389	0.7888425688	0.467002592
390	0.7888534848	0.4669938933
391	0.7888731335	0.4669873096
392	0.7888731335	0.4669735623
393	0.7888851411	0.4669579389
394	0.7888840495	0.4669472276
395	0.788923347	0.466932798
396	0.7889047898	0.4669231783
397	0.7889047898	0.4669065997
398	0.7889047898	0.4668890318
399	0.7889353545	0.466873306
400	0.788928805	0.4668666541
401	0.7889320797	0.4668539301
