iter	Accuracy	Logloss
466	0.802363264	0.4504579146
467	0.8023890276	0.4504452628
468	0.8023779861	0.4504263426
469	0.8024111108	0.4504151285
470	0.8024019095	0.4503950294
471	0.8024423952	0.4503795885
472	0.802455277	0.4503559526
473	0.8024497563	0.4503434446
474	0.8024534368	0.4503288087
475	0.8024313536	0.4503114413
476	0.802455277	0.4502976681
477	0.8024699991	0.4502804731
478	0.8024681589	0.4502667574
479	0.8024792004	0.4502507126
480	0.8024976031	0.4502391247
481	0.8025031238	0.4502304123
482	0.8025031238	0.4502205784
483	0.8025178459	0.4502060288
484	0.802532568	0.450193607
485	0.8025270472	0.4501692811
486	0.8025344083	0.4501540126
487	0.802525207	0.4501490957
488	0.8025012836	0.4501336548
489	0.8025178459	0.4501219806
490	0.8025215265	0.4501020253
491	0.8025509706	0.4500881945
492	0.8025288875	0.4500648462
493	0.8025564914	0.4500518494
494	0.802574894	0.4500303413
495	0.8025914564	0.4500115074
496	0.8026006577	0.4499979642
497	0.8025988174	0.4499868651
498	0.8025859356	0.4499629705
499	0.802609859	0.4499432452
500	0.8026337824	0.4499293857
501	0.8026356227	0.4499098617
502	0.8026227408	0.4498919766
503	0.8026282616	0.4498757881
504	0.8026411435	0.4498697785
505	0.80268715	0.4498486155
506	0.8026908305	0.4498247783
507	0.8027037124	0.449816871
508	0.8027570799	0.4498037016
509	0.8027589202	0.4497912798
510	0.8027441981	0.4497671839
511	0.8027662813	0.449737941
512	0.8027975657	0.4497282221
513	0.8027791631	0.4497137588
514	0.8027902047	0.4497006757
515	0.802799406	0.4496847172
516	0.8028141281	0.4496641005
517	0.8028214891	0.4496539503
518	0.8028233294	0.4496391707
519	0.8028086073	0.4496318384
520	0.8028398917	0.4496152761
521	0.8028398917	0.4496034006
522	0.8028380515	0.4495898287
523	0.8028619749	0.4495689532
524	0.802891419	0.4495497455
525	0.8028748567	0.4495334419
526	0.802891419	0.449523493
527	0.8028785372	0.4495049754
528	0.8028748567	0.4494900233
529	0.8029061411	0.4494777165
530	0.802919023	0.4494668762
531	0.8029227035	0.449459889
532	0.8029374256	0.4494525854
533	0.8029521477	0.4494313074
